,number,value,datetime_start,datetime_complete,duration,params_bias_mutate_rate,params_elitism,params_final_crossover_rate,params_final_mutation_rate,params_initial_crossover_rate,params_initial_mutation_rate,params_pop_size,params_response_mutate_rate,params_weight_mutate_rate,state
37,37,70.0832133341844,2024-10-16 05:57:06.848276,2024-10-16 06:11:22.081789,0 days 00:14:15.233513,0.15243731923940607,0,0.030271877914265805,0.3901928637509967,0.40499044907318243,0.20593921526753148,91,0.20723869212054677,0.5482274686200692,COMPLETE
38,38,48.912355152049244,2024-10-16 06:11:22.082268,2024-10-16 06:40:58.667126,0 days 00:29:36.584858,0.2532907304414439,3,0.15018039935308114,0.23934781916577832,0.46887496809613843,0.554879918276316,96,0.34094438689635476,0.4585022779528565,COMPLETE
39,39,35.34441682463039,2024-10-16 06:40:58.667645,2024-10-16 07:02:06.404440,0 days 00:21:07.736795,0.31715575942410484,2,0.2197692766617789,0.5327031836386621,0.5212240734380384,0.4482616082051773,100,0.5526467192376383,0.5734115519827313,COMPLETE
40,40,66.46317629318125,2024-10-16 07:02:06.404929,2024-10-16 07:21:03.558103,0 days 00:18:57.153174,0.3585486332463953,0,0.0764129704576894,0.3675604453418688,0.10787399171765724,0.5174356141232295,84,0.4559129687236041,0.5088600597130195,COMPLETE
41,41,63.01825845047025,2024-10-16 07:21:03.558592,2024-10-16 07:35:34.444794,0 days 00:14:30.886202,0.14853191560466047,0,0.04578643816102908,0.3983572470102185,0.41063515523988,0.19317216733318338,91,0.2057983301329859,0.5435118514594165,COMPLETE
42,42,70.12107396192295,2024-10-16 07:35:34.445274,2024-10-16 07:49:58.135163,0 days 00:14:23.689889,0.09410897548646321,0,0.03497460016718354,0.4077446025291286,0.3447309548385946,0.22525176638604533,93,0.19820223483091767,0.5500774116239214,COMPLETE
43,43,70.08511453015942,2024-10-16 07:49:58.135638,2024-10-16 08:07:17.310757,0 days 00:17:19.175119,0.062011312218484216,1,0.010462500371696055,0.45937284857053534,0.33154207285180903,0.316373570592432,100,0.278547499454012,0.46467722264958167,COMPLETE
44,44,70.05768872453831,2024-10-16 08:07:17.311237,2024-10-16 08:22:02.664255,0 days 00:14:45.353018,0.07292203822134291,0,0.10645197825681402,0.4093972606431708,0.28115951803458095,0.33663946902250486,93,0.07302709775940361,0.4079725555183639,COMPLETE
45,45,62.99650516041209,2024-10-16 08:22:02.664728,2024-10-16 08:42:33.081842,0 days 00:20:30.417114,0.2288638381363871,1,0.046436673400059886,0.08479347025667411,0.3520377325994413,0.271870339660545,97,0.15293185557046918,0.5723301336362293,COMPLETE
46,46,66.40364222513006,2024-10-16 08:42:33.082346,2024-10-16 09:20:31.316133,0 days 00:37:58.233787,0.4797242134193433,4,0.4306596481714956,0.2912880657507135,0.22561008854646017,0.04992204102112506,89,0.23793080198074523,0.5192470817279442,COMPLETE
47,47,70.27846222446975,2024-10-16 09:20:31.316625,2024-10-16 09:29:02.529821,0 days 00:08:31.213196,0.5472601648708001,0,0.1364979096657958,0.3221177821852334,0.4358264714543866,0.1651697213626826,55,0.31348888630596805,0.44659721782839124,COMPLETE
48,48,69.76408063293997,2024-10-16 09:29:02.530296,2024-10-16 09:38:03.681303,0 days 00:09:01.151007,0.5497815582872928,0,0.13409228091109138,0.26131270313318056,0.4351075687011024,0.13821220020390534,56,0.5022740349592677,0.3725413248913645,COMPLETE
49,49,57.962276204659915,2024-10-16 09:38:03.681770,2024-10-16 09:49:26.153504,0 days 00:11:22.471734,0.5619471731608399,1,0.19750102847117562,0.30909405820624414,0.025404547998722955,0.08608723609028424,66,0.30718753682098743,0.427703340880155,COMPLETE
